,FileNames,Timestamp,absnum,ClearMax,amplitude,RealTime,Date,Cycle Time (s)
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0008.ibw,3584715908,7217046,109,1.0748,2:25 PM,8/4/2017,6.60667
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0009.ibw,3584715917,7322420,111,1.10857,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0010.ibw,3584715925,7232910,111,1.07502,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0011.ibw,3584715933,7165946,113,1.05917,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0012.ibw,3584715942,7094478,115,1.07765,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0013.ibw,3584715950,7229761,110,1.04024,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0014.ibw,3584715958,7188962,106,1.08801,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0015.ibw,3584715967,7062968,111,1.03368,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0016.ibw,3584715975,7091793,106,1.06137,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0017.ibw,3584715983,6874718,106,1.00731,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0018.ibw,3584715992,6790523,103,1.02168,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0019.ibw,3584716000,6675076,98,0.997556,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0020.ibw,3584716008,5974999,95,0.88678,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0021.ibw,3584716017,5184342,86,0.767633,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0022.ibw,3584716025,5538045,88,0.831498,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0023.ibw,3584716033,5521499,87,0.836418,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0024.ibw,3584716042,5466919,87,0.838447,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0025.ibw,3584716050,6138997,96,0.92757,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0026.ibw,3584716058,6380392,98,0.918425,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0027.ibw,3584716067,6162861,96,0.921168,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0028.ibw,3584716075,6767927,102,1.02703,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0029.ibw,3584716083,6152331,105,0.915566,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0030.ibw,3584716092,5960467,92,0.893268,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0031.ibw,3584716100,6225849,102,0.960031,,,
