,FileNames,Timestamp,absnum,ClearMax,amplitude,tempH,tempV,Start Time,End Time,Date,Cycle Time (s),Data,Bad Files
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0235.ibw,3584718587,4311330,98,0.450615,9012.55,912.603,3:09 PM,3:23 PM,8/4/2017,6.68168,235,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0236.ibw,3584718596,4141595,99,0.242362,8669.37,430.389,,,,,335,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0237.ibw,3584718604,4244553,101,0.449395,8296.42,847.915,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0238.ibw,3584718613,4155564,99,0.442862,8787.24,868.92,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0239.ibw,3584718621,4644134,100,0.483068,8376.3,897.763,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0240.ibw,3584718630,4272010,103,0.458676,8479.65,865.467,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0241.ibw,3584718638,4316389,104,0.458803,8701.23,853.753,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0242.ibw,3584718646,4356534,101,0.464382,8855.82,878.147,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0243.ibw,3584718655,4397700,100,0.458715,8883.34,905.288,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0244.ibw,3584718663,4400181,99,0.255641,8649.55,629.034,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0245.ibw,3584718672,4343516,98,0.446771,9077.36,921.073,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0246.ibw,3584718680,4331278,100,0.447248,8567.83,929.397,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0247.ibw,3584718689,4285114,98,0.429964,8213.59,929.19,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0248.ibw,3584718697,4054070,92,0.434589,8113.85,876.908,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0249.ibw,3584718705,3594380,85,0.396323,7671.84,863.663,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0250.ibw,3584718714,3276235,80,0.362446,7709.71,861.493,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0251.ibw,3584718722,3768068,84,0.308477,5898.92,858.865,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0252.ibw,3584718731,3510590,85,0.387103,7343.19,849.344,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0253.ibw,3584718739,3702096,89,0.4178,8020.45,796.897,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0254.ibw,3584718748,3885372,94,0.433837,7732.97,833.909,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0255.ibw,3584718756,4024647,96,0.457753,7986.07,839.687,,,,,,
