,FileNames,Timestamp,absnum,ClearMax,amplitude,Start Time,End Time,Date,Cycle Time (s),Data,Bad Files
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0120.ibw,3584717072,6500096,99,1.28271,2:44 PM,3:03 PM,8/4/2017,6.61667,120,199
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0121.ibw,3584717081,6621197,99,1.29973,,,,,224,201
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0122.ibw,3584717089,6633667,102,1.31403,,,,,,202
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0123.ibw,3584717097,6581580,101,1.30453,,,,,,Relocked lasers after 202
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0124.ibw,3584717106,6626632,101,1.32712,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0125.ibw,3584717114,6591331,101,1.31411,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0126.ibw,3584717122,6579272,97,1.27648,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0127.ibw,3584717131,6533248,96,1.26595,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0128.ibw,3584717139,6586308,99,1.29919,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0129.ibw,3584717147,6427752,108,1.30557,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0130.ibw,3584717156,6551443,109,1.31442,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0131.ibw,3584717164,6547856,101,1.26259,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0132.ibw,3584717173,6413682,105,1.28897,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0133.ibw,3584717181,6856734,100,1.29421,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0134.ibw,3584717189,6382531,102,1.28763,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0135.ibw,3584717198,6441757,101,1.26877,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0136.ibw,3584717206,6399841,101,1.2621,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0137.ibw,3584717214,6474074,97,1.2682,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0138.ibw,3584717223,6541320,100,1.27523,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0139.ibw,3584717231,6626473,100,1.28797,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0140.ibw,3584717239,6577136,99,1.27311,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0141.ibw,3584717248,6533115,99,1.2805,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0142.ibw,3584717256,6557378,102,1.28254,,,,,,
